LemonEntry,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,GrammarRule1:question1,GrammarRule1: question2,GrammarRule 1: questions,NP (Grammar Rule 2)
birthPlace_of,noun,பிறந்த இடம்,-,of,NounPPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Place,"What (dbo:Place, X) is the பிறந்த இடம்/- of (dbo:Person,Y?) ",FALSE,"List the (dbo:Place, X) - of (dbo:Person,Y?) ","the பிறந்த இடம் of (dbo:Person,Y) "
capital-of,noun,தலைநகரம்,-,of,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:City,"What (dbo:City, X) is the தலைநகரம்/- of (dbo:Country,Y?) ",FALSE,"List the (dbo:City, X) - of (dbo:Country,Y?) ","the தலைநகரம் of (dbo:Country,Y) "
currency_of,noun,நாணயம்,நாணயங்கள்,of,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency,"What (dbo:Currency, X) is the நாணயம்/நாணயங்கள் of (dbo:Country,Y?) ",FALSE,"List the (dbo:Currency, X) நாணயங்கள் of (dbo:Country,Y?) ","the நாணயம் of (dbo:Country,Y) "
height_of,noun,உயரம்,-,of,NounPPFrame,range,domain,1,dbo:height,dbo:Person,xsd:double,"What (xsd:double, X) is the உயரம்/- of (dbo:Person,Y?) ",FALSE,"List the (xsd:double, X) - of (dbo:Person,Y?) ","the உயரம் of (dbo:Person,Y) "
deathPlace_of,noun,இறந்த இடம்,-,of,NounPPFrame,range,domain,1,dbo:deathPlace,dbo:Person,dbo:Place,"What (dbo:Place, X) is the இறந்த இடம்/- of (dbo:Person,Y?) ",FALSE,"List the (dbo:Place, X) - of (dbo:Person,Y?) ","the இறந்த இடம் of (dbo:Person,Y) "
father_of,noun,அப்பா,-,of,NounPPFrame,range,domain,1,dbo:father,dbo:Person,dbo:Person,"What (dbo:Person, X) is the அப்பா/- of (dbo:Person,Y?) ","Who (dbo:Person, X) is the அப்பா of (dbo:Person,Y?) (X dbo:father Y)","List the (dbo:Person, X) - of (dbo:Person,Y?) ","the அப்பா of (dbo:Person,Y) "
successor-of,noun,வாரிசு,-,of,NounPPFrame,range,domain,1,dbo:successor,dbo:Person,dbo:Person,"What (dbo:Person, X) is the வாரிசு/- of (dbo:Person,Y?) ","Which person,Who (dbo:Person, X) is,was the வாரிசு of (dbo:Person,Y?) (X dbo:successor Y)","List the (dbo:Person, X) - of (dbo:Person,Y?) ","the வாரிசு of (dbo:Person,Y) "
residence-of,noun,குடியிருப்பு,குடியிருப்புகள்,of,NounPPFrame,range,domain,1,dbo:residence,dbo:Place,dbo:Person,-,"Which person,Who (dbo:Person, X) is,was the குடியிருப்பு of (dbo:Place,Y?) (X dbo:residence Y)","List the (dbo:Person, X) குடியிருப்புகள் of (dbo:Place,Y?) ","the குடியிருப்பு of (dbo:Place,Y) "
partner-of,noun,பங்குதாரர்,பங்குதாரர்கள்,of,NounPPFrame,range,domain,1,dbo:partner,dbo:Person,dbo:Person,-,"Which person,Who (dbo:Person, X) is,was the பங்குதாரர் of (dbo:Person,Y?) (X dbo:partner Y)","List the (dbo:Person, X) பங்குதாரர்கள் of (dbo:Person,Y?) ","the பங்குதாரர் of (dbo:Person,Y) "
spouse-of,noun,மனைவி,மனைவிகள்,of,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,-,"Which person,Who (dbo:Person, X) is,was the மனைவி of (dbo:Person,Y?) (X dbo:spouse Y)","List the (dbo:Person, X) மனைவிகள் of (dbo:Person,Y?) ","the மனைவி of (dbo:Person,Y) "
