LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,domainWrittenSingular,domainWrittenPlural,rangeWrittenSingular,rangeWrittenPlural,GrammarRule 1 :question 1,GrammarRule 1 :question 2,GrammarRule 1 :sparql,Grammar rule 2: question1,Grammar rule 2: question2,sparql2
flow_through_1,verb,flow,flows,flowed,through,IntransitivePPFrame,domain,range,1,dbo:country,dbo:River,dbo:Country,river,rivers,country,countries,What dbo:River(X) flows through Y(dbo:Country)?,FALSE,SELECT ?X WHERE { ?X dbo:country Y.},Which dbo:Country(X) does Y(dbo:River) flow through?,FALSE,SELECT ?X WHERE { Y dbo:country ?X.}
flow_through_2,verb,flow,flows,flowed,through,IntransitivePPFrame,domain,range,2,dbo:city,dbo:River,dbo:City,river,rivers,city,cities,What dbo:River(X) flows through Y(dbo:City)?,FALSE,SELECT ?X WHERE { ?X dbo:city Y.},Which dbo:City(X) does Y(dbo:River) flow through?,FALSE,SELECT ?X WHERE { Y dbo:city ?X.}
take_place_in_1,verb,take place,takes place,took place,in,IntransitivePPFrame,domain,range,1,dbo:place,dbo:MilitaryConflict,dbo:PopulatedPlace,conflict,conflicts,place,places,,,,,,
take_place_in_2,verb,take place,takes place,took place,in,IntransitivePPFrame,domain,range,1,dbp:date,dbo:MilitaryConflict,xsd:date,conflict,conflicts,date,dates,,,,,,
commence_1,verb,commence,commences,commenced,in,IntransitivePPFrame,domain,range,1,dbo:date,dbo:Event,xsd:date,event,events,date,dates,,,,,,
end_in_1,verb,end,ends,ended,in,IntransitivePPFrame,domain,range,1,dbo:routeEnd,dbo:Road,dbo:Location,road,roads,location,locations,,,,,,
end_in_2,verb,end,ends,ended,in,IntransitivePPFrame,domain,range,2,dbo:routeEnd,dbo:ArchitecturalStructure,dbo:Location,architecturalStructure,architecturalStructures,location,locations,,,,,,
end_in_3,verb,end,ends,ended,in,IntransitivePPFrame,domain,range,3,dbo:routeEnd,dbo:Infrastructure,dbo:Location,infrastructure,infrastructures,location,locations,,,,,,
end_in_4,verb,end,ends,ended,in,IntransitivePPFrame,domain,range,4,dbo:routeEnd,dbo:RouteOfTransportation,dbo:Location,route of Transportation,routes of transportation,location,locations,,,,,,
grow_in_1,verb,grow,grows,grew,in,IntransitivePPFrame,range,domain,1,dbo:growingGrape,dbo:WineRegion,dbo:Grape,wine region,wine regions,grape,grape,What dbo:Grape (Y) grows in X(dbo:WineRegion)? ,FALSE,SELECT ?Y WHERE { X dbo:growingGrape ?Y.},Which dbo:WineRegion (X) does Y(dbo:Grape) grow in?,FALSE,SELECT ?X WHERE { ?X dbo:growingGrape Y.}
stand_for_2,verb,stand,stands,stood,for,IntransitivePPFrame,range,domain,1,dbo:abbreviation,owl:Thing,dbo:string,thing,things,-,-,What dbo:string (Y) stands for X(owl:Thing)? ,FALSE,SELECT ?Y WHERE { X dbo:abbreviation ?Y.},Which owl:Thing (X) does Y(dbo:string) stand for?,FALSE,SELECT ?X WHERE { ?X dbo:abbreviation Y.}
starr_in_3,verb,star,stars,starred,in,IntransitivePPFrame,domain,range,1,dbo:starring,dbo:Film,dbo:Actor,film,films,actor,actors,What dbo:Film(X) stars in Y(dbo:Actor)?,FALSE,SELECT ?X WHERE { ?X dbo:starring Y.},Which dbo:Actor(X) does Y(dbo:Film) star in?,FALSE,SELECT ?X WHERE { Y dbo:starring ?X.}
begin_at_1,verb,begin,begins,began,at,IntransitivePPFrame,domain,range,1,dbp:source1Location,dbo:River,dbo:Country,river,rivers,country,countries,What dbo:River(X) begins at Y(dbo:Country)?,FALSE,SELECT ?X WHERE { ?X dbp:source1Location Y.},Which dbo:Country(X) does Y(dbo:River) begin at?,FALSE,SELECT ?X WHERE { Y dbp:source1Location ?X.}
begin_at_2,verb,begin,begins,began,at,IntransitivePPFrame,domain,range,1,dbp:source2Location,dbo:River,dbo:City,river,rivers,city,cities,What dbo:River(X) begins at Y(dbo:City)?,FALSE,SELECT ?X WHERE { ?X dbp:source2Location Y.},Which dbo:City(X) does Y(dbo:River) begin at?,FALSE,SELECT ?X WHERE { Y dbp:source2Location ?X.}
flow_into,verb,flow,flows,flowed,into,IntransitivePPFrame,range,domain,1,dbo:inflow,dbo:BodyOfWater,dbo:BodyOfWater,body Of water,body Of water,body of water,body of water,What dbo:BodyOfWater (Y) flows into X(dbo:BodyOfWater)? ,FALSE,SELECT ?Y WHERE { X dbo:inflow ?Y.},Which dbo:BodyOfWater (X) does Y(dbo:BodyOfWater) flow into?,FALSE,SELECT ?X WHERE { ?X dbo:inflow Y.}
draft_in,verb,draft,drafts,drafted,in,IntransitivePPFrame,domain,range,1,dbo:draftYear,dbo:AmericanFootballPlayer,xsd:gYear,american football player,american football players,-,-,What dbo:AmericanFootballPlayer(X) drafts in Y(xsd:gYear)?,FALSE,SELECT ?X WHERE { ?X dbo:draftYear Y.},Which xsd:gYear(X) does Y(dbo:AmericanFootballPlayer) draft in?,FALSE,SELECT ?X WHERE { Y dbo:draftYear ?X.}
complete_in_1,verb,complete,completes,completed,in,IntransitivePPFrame,domain,range,1,dbo:buildingEndDate,dbo:ArchitecturalStructure,xsd:gYear,architectural structure,architectural structures,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingEndDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingEndDate ?X.}
complete_in_2,verb,complete,completes,completed,in,IntransitivePPFrame,domain,range,2,dbo:completionDate,dbo:Work,xsd:gYear,work,works,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:completionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:completionDate ?X.}
complete_in_3,verb,complete,completes,completed,in,IntransitivePPFrame,domain,range,3,dbo:buildingEndDate,dbo:Bridge,xsd:gYear,bridge,bridges,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingEndDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingEndDate ?X.}
complete_in_4,verb,complete,completes,completed,in,IntransitivePPFrame,domain,range,4,dbo:buildingEndDate,dbo:Building,xsd:gYear,building,building,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingEndDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingEndDate ?X.}
build_in_1,verb,build,builds,built,in,IntransitivePPFrame,domain,range,1,dbo:buildingStartDate,dbo:ArchitecturalStructure,xsd:gYear,architectural structure,architectural structures,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingStartDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingStartDate ?X.}
build_in_2,verb,build,builds,built,in,IntransitivePPFrame,domain,range,2,dbo:buildingStartDate,dbo:Bridge,xsd:gYear,bridge,bridges,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingStartDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingStartDate ?X.}
build_in_3,verb,build,builds,built,in,IntransitivePPFrame,domain,range,3,dbo:buildingStartDate,dbo:Building,xsd:gYear,building,building,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingStartDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingStartDate ?X.}
inaugurate_in_1,verb,inaugurate,inaugurates,inaugurated,in,IntransitivePPFrame,domain,range,1,dbo:openingDate,dbo:ArchitecturalStructure,xsd:gYear,architectural structure,architectural structures,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:openingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:openingDate ?X.}
inaugurate_in_2,verb,inaugurate,inaugurates,inaugurated,in,IntransitivePPFrame,domain,range,2,dbo:openingDate,dbo:Bridge,xsd:gYear,bridge,bridges,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:openingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:openingDate ?X.}
inaugurate_in_3,verb,inaugurate,inaugurates,inaugurated,in,IntransitivePPFrame,domain,range,3,dbo:openingDate,dbo:Building,xsd:gYear,building,building,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:openingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:openingDate ?X.}
founded_on_1,verb,find,finds,founded,on,IntransitivePPFrame,domain,range,1,dbo:foundingDate,dbo:Organisation,xsd:date,organisation,organisations,-,-,-,Which dbo:Organisation(X) was founded on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:foundingDate Y.},-,When xsd:date(X) was Y(dbo:Organisation) founded ?,SELECT ?X WHERE { Y dbo:foundingDate ?X.}
founded_on_2,verb,found,founds,founded,on,IntransitivePPFrame,domain,range,2,dbo:foundingDate,dbo:Settlement,xsd:date,settlement,settlements,-,-,-,Which dbo:Settlement(X) was founded on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:foundingDate Y.},-,When xsd:date(X) was Y(dbo:Settlement) founded ?,SELECT ?X WHERE { Y dbo:foundingDate ?X.}
founded_on_3,verb,found,founds,founded,on,IntransitivePPFrame,domain,range,4,dbo:formationDate,dbo:PoliticalParty,xsd:date,politicalParty,politicalParties,-,-,-,Which dbo:PoliticalParty(X) was founded on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:formationDate Y.},-,When xsd:date(X) was Y(dbo:PoliticalParty) founded ?,SELECT ?X WHERE { Y dbo:formationDate ?X.}
founded_in_1,verb,find,finds,founded,in,IntransitivePPFrame,domain,range,2,dbo:foundingYear,dbo:Organisation,xsd:gYear,organisation,organisations,-,-,,FALSE,SELECT ?X WHERE { ?X dbo:foundingYear Y.},-,FALSE,SELECT ?X WHERE { Y dbo:foundingYear ?X.}
founded_in_2,verb,found,founds,founded,in,IntransitivePPFrame,domain,range,2,dbo:foundingDate,dbo:Settlement,xsd:gYear,settlement,settlements,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:foundingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:foundingDate ?X.}
founded_in_3,verb,found,founds,founded,in,IntransitivePPFrame,domain,range,4,dbo:formationDate,dbo:PoliticalParty,xsd:gYear,politicalParty,politicalParties,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:formationDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:formationDate ?X.}
released_on_1,verb,release,releases,released,at,IntransitivePPFrame,domain,range,1,dbo:releaseDate,dbo:TelevisionShow,xsd:date,television show,television shows,-,-,-,Which dbo:TelevisionShow(X) was released at Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:releaseDate Y.},-,When xsd:date(X) was Y(dbo:TelevisionShow) released ?,SELECT ?X WHERE { Y dbo:releaseDate ?X.}
released_on_2,verb,release,releases,released,at,IntransitivePPFrame,domain,range,2,dbo:releaseDate,dbo:Song,xsd:date,song,songs,-,-,-,Which dbo:Song(X) was released at Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:releaseDate Y.},-,When xsd:date(X) was Y(dbo:Song) released ?,SELECT ?X WHERE { Y dbo:releaseDate ?X.}
released_on_3,verb,release,releases,released,at,IntransitivePPFrame,domain,range,3,dbo:releaseDate,dbo:Software,xsd:date,software,softwares,-,-,-,Which dbo:Software(X) was released at Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:releaseDate Y.},-,When xsd:date(X) was Y(dbo:Software) released ?,SELECT ?X WHERE { Y dbo:releaseDate ?X.}
released_on_4,verb,release,releases,released,on,IntransitivePPFrame,domain,range,1,dbo:computingPlatform,dbo:Software,owl:Thing,software,softwares,thing,things,What dbo:Software(X) releases on Y(owl:Thing)?,FALSE,SELECT ?X WHERE { ?X dbo:computingPlatform Y.},Which owl:Thing(X) does Y(dbo:Software) release on?,FALSE,SELECT ?X WHERE { Y dbo:computingPlatform ?X.}
published_on_1,verb,publish,publishes,published,on,IntransitivePPFrame,domain,range,1,dbp:published,dbo:Song,xsd:date,song,songs,-,-,-,Which dbo:Song(X) was published on Y(xsd:date)?,SELECT ?X WHERE { ?X dbp:published Y.},-,When xsd:date(X) was Y(dbo:Song) published ?,SELECT ?X WHERE { Y dbp:published ?X.}
published_on_2,verb,publish,publishes,published,on,IntransitivePPFrame,domain,range,1,dbp:published,dbo:Article,xsd:date,article,articles,-,-,-,Which dbo:Article(X) was published on Y(xsd:date)?,SELECT ?X WHERE { ?X dbp:published Y.},-,When xsd:date(X) was Y(dbo:Article) published ?,SELECT ?X WHERE { Y dbp:published ?X.}
published_on_3,verb,publish,publishes,published,on,IntransitivePPFrame,domain,range,1,dbo:publicationDate,dbo:Book,xsd:date,book,books,-,-,-,Which dbo:Book(X) was published on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:publicationDate Y.},-,When xsd:date(X) was Y(dbo:Book) published ?,SELECT ?X WHERE { Y dbo:publicationDate ?X.}
published_in_1,verb,publish,publishes,published,in,IntransitivePPFrame,domain,range,1,dbp:published,dbo:Song,xsd:gYear,song,songs,-,-,-,FALSE,SELECT ?X WHERE { ?X dbp:published Y.},-,FALSE,SELECT ?X WHERE { Y dbp:published ?X.}
published_in_2,verb,publish,publishes,published,in,IntransitivePPFrame,domain,range,1,dbp:published,dbo:Article,xsd:gYear,article,articles,-,-,-,FALSE,SELECT ?X WHERE { ?X dbp:published Y.},-,FALSE,SELECT ?X WHERE { Y dbp:published ?X.}
published_in_3,verb,publish,publishes,published,in,IntransitivePPFrame,domain,range,1,dbo:publicationDate,dbo:Book,xsd:gYear,book,books,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:publicationDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:publicationDate ?X.}
dissolve_on_1,verb,dissolve,dissolves,dissolved,on,IntransitivePPFrame,domain,range,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:date,populated place,populated places,-,-,-,Which dbo:PopulatedPlace(X) was dissolved on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:dissolutionDate Y.},-,When xsd:date(X) was Y(dbo:PopulatedPlace) dissolved ?,SELECT ?X WHERE { Y dbo:dissolutionDate ?X.}
