LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,domainWrittenSingular,domainWrittenPlural,rangeWrittenSingular,rangeWrittenPlural,GrammarRule 1 :question 1,GrammarRule 1 :question 2,GrammarRule 1 :sparql,Grammar rule 2: question1,Grammar rule 2: question2,sparql2
take_place_in_2,verb,take place,takes place,took place,in,IntransitivePPFrame,domain,range,1,dbp:date,dbo:MilitaryConflict,xsd:date,conflict,conflicts,date,dates,,,,,,
commence_1,verb,commence,commences,commenced,in,IntransitivePPFrame,domain,range,1,dbo:date,dbo:Event,xsd:date,event,events,date,dates,,,,,,
draft_in,verb,draft,drafts,drafted,in,IntransitivePPFrame,domain,range,1,dbo:draftYear,dbo:AmericanFootballPlayer,xsd:gYear,american football player,american football players,-,-,What dbo:AmericanFootballPlayer(X) drafts in Y(xsd:gYear)?,FALSE,SELECT ?X WHERE { ?X dbo:draftYear Y.},Which xsd:gYear(X) does Y(dbo:AmericanFootballPlayer) draft in?,FALSE,SELECT ?X WHERE { Y dbo:draftYear ?X.}
complete_in_1,verb,complete,completes,completed,in,IntransitivePPFrame,domain,range,1,dbo:buildingEndDate,dbo:ArchitecturalStructure,xsd:gYear,architectural structure,architectural structures,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingEndDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingEndDate ?X.}
complete_in_2,verb,complete,completes,completed,in,IntransitivePPFrame,domain,range,2,dbo:completionDate,dbo:Work,xsd:gYear,work,works,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:completionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:completionDate ?X.}
complete_in_3,verb,complete,completes,completed,in,IntransitivePPFrame,domain,range,3,dbo:buildingEndDate,dbo:Bridge,xsd:gYear,bridge,bridges,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingEndDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingEndDate ?X.}
complete_in_4,verb,complete,completes,completed,in,IntransitivePPFrame,domain,range,4,dbo:buildingEndDate,dbo:Building,xsd:gYear,building,building,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingEndDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingEndDate ?X.}
build_in_1,verb,build,builds,built,in,IntransitivePPFrame,domain,range,1,dbo:buildingStartDate,dbo:ArchitecturalStructure,xsd:gYear,architectural structure,architectural structures,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingStartDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingStartDate ?X.}
build_in_2,verb,build,builds,built,in,IntransitivePPFrame,domain,range,2,dbo:buildingStartDate,dbo:Bridge,xsd:gYear,bridge,bridges,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingStartDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingStartDate ?X.}
build_in_3,verb,build,builds,built,in,IntransitivePPFrame,domain,range,3,dbo:buildingStartDate,dbo:Building,xsd:gYear,building,building,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingStartDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingStartDate ?X.}
