LemonEntry,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domainWrittenSingularForm,domainWrittenPluralForm,rangeWrittenSingularForm,rangeWrittenPluralFormIndex
first_to_climb,noun,first to climb,-,X,NounPPFrame,range ,domain,1,dbo:firstAscentPerson,dbo:Mountain,dbo:Person,mountain,mountains,person,persons
music_by,noun,music,musics,by,NounPPFrame,domain,range,1,dbo:musicBy,dbo:Person,dbo:Musical,person,persons,musical_with,musicals_with
wife-of,noun,wife,wives,of,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,person,persons,person,persons
host_of,noun,host,hosts,of,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,television show,television shows,person,persons
largest_country_in,noun,largest country,-,of,NounPPFrame,range,domain,1,dbo:areaTotal,dbo:Country,dbo:Country,country,-,country,-
mayor_of_1,noun,mayor,-,of,NounPPFrame,range,domain,1,dbo:mayor,dbo:City,dbo:Person,city,cities,person,persons
mayor_of_2,noun,mayor,-,of,NounPPFrame,range,domain,1,dbo:leaderName,dbo:City,dbo:Person,city,cities,person,persons
coach_of,noun,mayor,-,of,NounPPFrame,range,domain,1,dbo:coach,dbo:IceHockeyLeague,dbo:Person,ice hockey league,ice hockey leagues,person,persons
birthPlace_of,noun,birth place,-,of,NounPPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Country,person,persons,country,countries
Location-of_1,noun,location,-,of,NounPPFrame,range,domain,1,dbo:location,dbo:Place,dbo:Place,place,places,place,places
Location-of_2,noun,location,-,of,NounPPFrame,range,domain,1,dbo:locatedInArea ,dbo:Mountain,dbo:Country,mountain,mountains,country,countries
officialLanguage-of,noun,official language,official languages,of,NounPPFrame,range,domain,1,dbo:officialLanguage,dbo:Country,dbo:Language,country,countries,language,languages
ingredient_of,noun,ingredient,ingredients,of,NounPPFrame,range,domain,1,dbo:ingredient,dbo:Food,owl:Thing,food,foods,thing,things
largestCity_of,noun,largest city,-,of,NounPPFrame,range,domain,1,dbo:largestCity,dbo:Country,dbo:City,country,countries,city,cities
programmingLanguage_of,noun,programming language,programming languages,of,NounPPFrame,range,domain,1,dbo:programmingLanguage,dbo:Work,dbo:Language,work,works,language,languages
editor_of,noun,editor,editors,of,NounPPFrame,range,domain,1,dbo:editor,dbo:Work,dbo:Person,work,works,person,persons
capital-of,noun,capital,-,of,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:Place,country,countries,place,places
child_of,noun,child,children,of,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,person,persons,person,persons
nationality_of,noun,nationality,-,of,NounPPFrame,range,domain,1,dbo:nationality,dbo:Person,dbo:Country,person,persons,person,persons
