LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domain_article,range_article,domain_written_singular,range_written_singular,,,,,,,,,,,,,,,,,,
capital-of-1,noun,feminine,Hauptstadt,-,Hauptstadt,Hauptstadt,Hauptstadt,von,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:City,neuter,Land,,feminine,Ort,,"Was (dbo:City, X) ist die Hauptstadt von (dbo:Country,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:capital ?X.},"Welche (dbo:City, X) ist die Hauptstadt von (dbo:Country,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:capital ?X.},FALSE,FALSE,,"Gib mir die (dbo:City, X) Hauptstadt von (dbo:Country,Y?) ",,SELECT ?X WHERE { Y dbo:capital ?X.},"die Hauptstadt von (dbo:Country,Y) ",,SELECT ?X WHERE { Y dbo:capital ?X.},
capital-of-2,noun,feminine,Hauptstadt,-,Hauptstadt,Hauptstadt,Hauptstadt,von,NounPPFrame,range,domain,1,dbo:capital,dbo:Place,dbo:City,feminine,Lage,,feminine,Stadt,,"Was (dbo:City, X) ist die Hauptstadt von (dbo:Place,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:capital ?X.},"Welche (dbo:City, X) ist die Hauptstadt von (dbo:Place,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:capital ?X.},FALSE,FALSE,,"Gib mir die (dbo:City, X) Hauptstadt von (dbo:Place,Y?) ",,SELECT ?X WHERE { Y dbo:capital ?X.},"die Hauptstadt von (dbo:Place,Y) ",,SELECT ?X WHERE { Y dbo:capital ?X.},
capital-of-3,noun,feminine,Hauptstadt,-,Hauptstadt,Hauptstadt,Hauptstadt,von,NounPPFrame,range,domain,1,dbo:capital,dbo:Location,dbo:City,feminine,Lage,,feminine,Stadt,,"Was (dbo:City, X) ist die Hauptstadt von (dbo:Location,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:capital ?X.},"Welche (dbo:City, X) ist die Hauptstadt von (dbo:Location,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:capital ?X.},FALSE,FALSE,,"Gib mir die (dbo:City, X) Hauptstadt von (dbo:Location,Y?) ",,SELECT ?X WHERE { Y dbo:capital ?X.},"die Hauptstadt von (dbo:Location,Y) ",,SELECT ?X WHERE { Y dbo:capital ?X.},
capital-of-4,noun,feminine,Hauptstadt,-,Hauptstadt,Hauptstadt,Hauptstadt,von,NounPPFrame,range,domain,1,dbo:capital,dbo:PopulatedPlace,dbo:City,masculine,Bevîlkerter Ort,,feminine,Stadt,,"Was (dbo:City, X) ist die Hauptstadt von (dbo:PopulatedPlace,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:capital ?X.},"Welche (dbo:City, X) ist die Hauptstadt von (dbo:PopulatedPlace,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:capital ?X.},FALSE,FALSE,,"Gib mir die (dbo:City, X) Hauptstadt von (dbo:PopulatedPlace,Y?) ",,SELECT ?X WHERE { Y dbo:capital ?X.},"die Hauptstadt von (dbo:PopulatedPlace,Y) ",,SELECT ?X WHERE { Y dbo:capital ?X.},
mayor-of-1,noun,masculine,BÅrgermeister,-,BÅrgermeister,BÅrgermeister,BÅrgermeisters,von,NounPPFrame,range,domain,1,dbo:mayor,dbo:City,dbo:Person,dbo:Person,masculine,,feminine,Stadt,,Person,interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:mayor ?X.},"Welche (dbo:Person, X) ist die BÅrgermeister von (dbo:City,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:mayor ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article BÅrgermeister von (dbo:City,Y?) (X dbo:mayor Y)",SELECT ?X WHERE { Y dbo:mayor ?X.},,"Gib mir die (dbo:Person, X) BÅrgermeister von (dbo:City,Y?) ",,SELECT ?X WHERE { Y dbo:mayor ?X.},"die BÅrgermeister von (dbo:City,Y) ",,SELECT ?X WHERE { Y dbo:mayor ?X.},
mayor-of-2,noun,masculine,BÅrgermeister,-,BÅrgermeister,BÅrgermeister,BÅrgermeisters,von,NounPPFrame,range,domain,1,dbo:mayor,dbo:Place,dbo:Person,dbo:Person,masculine,,masculine,Ort,,Person,interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:mayor ?X.},"Welche (dbo:Person, X) ist die BÅrgermeister von (dbo:Place,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:mayor ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article BÅrgermeister von (dbo:Place,Y?) (X dbo:mayor Y)",SELECT ?X WHERE { Y dbo:mayor ?X.},,"Gib mir die (dbo:Person, X) BÅrgermeister von (dbo:Place,Y?) ",,SELECT ?X WHERE { Y dbo:mayor ?X.},"die BÅrgermeister von (dbo:Place,Y) ",,SELECT ?X WHERE { Y dbo:mayor ?X.},
mayor-of-3,noun,masculine,BÅrgermeister,-,BÅrgermeister,BÅrgermeister,BÅrgermeisters,von,NounPPFrame,range,domain,1,dbo:mayor,dbo:Location,dbo:Person,dbo:Person,masculine,,feminine,Lage,,Person,interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:mayor ?X.},"Welche (dbo:Person, X) ist die BÅrgermeister von (dbo:Location,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:mayor ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article BÅrgermeister von (dbo:Location,Y?) (X dbo:mayor Y)",SELECT ?X WHERE { Y dbo:mayor ?X.},,"Gib mir die (dbo:Person, X) BÅrgermeister von (dbo:Location,Y?) ",,SELECT ?X WHERE { Y dbo:mayor ?X.},"die BÅrgermeister von (dbo:Location,Y) ",,SELECT ?X WHERE { Y dbo:mayor ?X.},
mayor-of-4,noun,masculine,BÅrgermeister,-,BÅrgermeister,BÅrgermeister,BÅrgermeisters,von,NounPPFrame,range,domain,1,dbo:mayor,dbo:PopulatedPlace,dbo:Person,dbo:Person,masculine,,masculine,Bevîlkerter Ort,,Person,interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:mayor ?X.},"Welche (dbo:Person, X) ist die BÅrgermeister von (dbo:PopulatedPlace,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:mayor ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article BÅrgermeister von (dbo:PopulatedPlace,Y?) (X dbo:mayor Y)",SELECT ?X WHERE { Y dbo:mayor ?X.},,"Gib mir die (dbo:Person, X) BÅrgermeister von (dbo:PopulatedPlace,Y?) ",,SELECT ?X WHERE { Y dbo:mayor ?X.},"die BÅrgermeister von (dbo:PopulatedPlace,Y) ",,SELECT ?X WHERE { Y dbo:mayor ?X.},
mayor-of-5,noun,masculine,BÅrgermeister,-,BÅrgermeister,BÅrgermeister,BÅrgermeisters,von,NounPPFrame,range,domain,1,dbo:mayor,dbo:Settlement,dbo:Person,dbo:Person,masculine,,feminine,Siedlung,,Person,interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:mayor ?X.},"Welche (dbo:Person, X) ist die BÅrgermeister von (dbo:Settlement,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:mayor ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article BÅrgermeister von (dbo:Settlement,Y?) (X dbo:mayor Y)",SELECT ?X WHERE { Y dbo:mayor ?X.},,"Gib mir die (dbo:Person, X) BÅrgermeister von (dbo:Settlement,Y?) ",,SELECT ?X WHERE { Y dbo:mayor ?X.},"die BÅrgermeister von (dbo:Settlement,Y) ",,SELECT ?X WHERE { Y dbo:mayor ?X.},
mayor-of-6,noun,masculine,BÅrgermeister,-,BÅrgermeister,BÅrgermeister,BÅrgermeisters,von,NounPPFrame,range,domain,1,dbo:leaderName,dbo:City,dbo:Person,dbo:Person,masculine,,feminine,Stadt,,Person,interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:leaderName ?X.},"Welche (dbo:Person, X) ist die BÅrgermeister von (dbo:City,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:leaderName ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article BÅrgermeister von (dbo:City,Y?) (X dbo:leaderName Y)",SELECT ?X WHERE { Y dbo:leaderName ?X.},,"Gib mir die (dbo:Person, X) BÅrgermeister von (dbo:City,Y?) ",,SELECT ?X WHERE { Y dbo:leaderName ?X.},"die BÅrgermeister von (dbo:City,Y) ",,SELECT ?X WHERE { Y dbo:leaderName ?X.},
