LemonEntry,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domainWrittenSingularForm, domainWrittenPluralForm,rangeWrittenSingularForm,rangeWrittenPluralFormIndex
birthPlace_of,noun,birth place,-,of,NounPPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Place,Person,Persons,Place,Places
height_of,noun,height,-,of,NounPPFrame,range,domain,1,dbo:height,dbo:Person,xsd:double,Person,Persons,-,-
deathPlace_of,noun,death place,-,of,NounPPFrame,range,domain,1,dbo:deathPlace,dbo:Person,dbo:Place,Person,Persons,Place,Places
father_of,noun,father,-,of,NounPPFrame,range,domain,1,dbo:father,dbo:Person,dbo:Person,Person,Persons,Person,Persons
successor-of,noun,successor,-,of,NounPPFrame,range,domain,1,dbo:successor,dbo:Person,dbo:Person,Person,Persons,Person,Persons
residence-of,noun,residence,residences,of,NounPPFrame,range,domain,1,dbo:residence,dbo:Place,dbo:Person,Place,Places,Person,Persons
partner-of,noun,partner,partners,of,NounPPFrame,range,domain,1,dbo:partner,dbo:Person,dbo:Person,Person,Persons,Person,Persons
spouse-of,noun,spouse,spouses,of,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,Person,Persons,Person,Persons
birthDate-of,noun,birth date,-,of,NounPPFrame,range,domain,1,dbo:birthDate,dbo:Person,xsd:date,Person,Persons,-,-
education-of,noun,education,-,of,NounPPFrame,range,domain,1,dbo:education,dbo:Person,xsd:string,Person,Persons,-,-
nationality_of,noun,nationality,-,of,NounPPFrame,range,domain,1,dbo:nationality,dbo:Person,dbo:Country,Person,Persons,Person,Persons
editor_of,noun,editor,editors,of,NounPPFrame,range,domain,1,dbo:editor,dbo:Work,dbo:Person,Work,Works,Person,Persons
creator_of,noun,creator,creators,of,NounPPFrame,range,domain,1,dbo:creator,dbo:Person,dbo:Agent,Person,Persons,Agent,Agents
capital-of,noun,capital,-,of,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:City,Country,Countries,City,Cities
city-of,noun,city,cities,of,NounPPFrame,range,domain,1,dbo:city,dbo:Country,dbo:City,Country,Countries,City,Cities
formOfGovernment-of,noun,form of government,-,of,NounPPFrame,range,domain,1,dbo:governmentType,dbo:Country,dbo:GovernmentType,Country,Countries,Goverment type,Goverment types
