LemonEntry,partOfSpeech,writtenFormInfinitive,writtenForm3rdPerson,writtenFormPast,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition,domainWrittenSingularForm, domainWrittenPluralForm,rangeWrittenSingularForm,rangeWrittenPluralFormIndex
develop_1,verb,develop,develops,developed,TransitiveFrame,range,domain,1,dbo:developer,dbo:Work,dbo:Agent,by,work,works,agent,agents
play_1,verb,play,playes,played,TransitiveFrame,range,domain,1,dbo:portrayer,dbo:FictionalCharacter,dbo:Person,by,fictional character,fictional characters,person,persons
play_2,verb,play,plays,played,TransitiveFrame,range,domain,2,dbo:portrayer,dbo:Work,dbo:Actor,by,work,works,actor,actors
direct_1,verb,direct,directs,directed,TransitiveFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,by,film,films,person,persons
direct_2,verb,direct,directs,directed,TransitiveFrame,range,domain,2,dbo:director,dbo:Software,dbo:Person,by,software,softwares,person,persons
design_1,verb,design,designs,designed,TransitiveFrame,range,domain,1,dbo:architect,dbo:ArchitecturalStructure,dbo:Architect,by,architectural structure,architectural structures,architect,architects
design_2,verb,design,designs,designed,TransitiveFrame,range,domain,2,dbo:designer,dbo:Building,dbo:Person,by,building,buildings,person,persons
design_3,verb,design,designs,designed,TransitiveFrame,range,domain,3,dbo:designer,dbo:Software,dbo:Person,by,software,softwares,person,persons
operate_1,verb,operate,designs,designed,TransitiveFrame,range,domain,1,dbo:operator,dbo:Organisation,dbo:LaunchPad,by,organisation,organisations,launch pad,launch pads
exhibit_1,verb,exhibit,exhibits,exhibited,TransitiveFrame,range,domain,1,dbo:museum,dbo:Artwork,dbo: Museum,by,artwork,artworks,museum,museums
discover_1,verb,discover,discovers,discovered,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:Place,dbo:Person,by,place,places,person,persons
produce_1,verb,produce,produces,produced,TransitiveFrame,range,domain,1,dbo:producer,dbo:Film,dbo:Person,by,film,films,person,persons
produce_2,verb,produce,produces,produced,TransitiveFrame,range,domain,2,dbo:producer,dbo:Work,dbo:Person,by,work,works,person,persons
produce_3,verb,produce,produces,produced,TransitiveFrame,range,domain,3,dbo:executiveProducer,dbo:TelevisionShow,dbo:Person,by,Television show,Television shows,person,persons
produce_4,verb,produce,produces,produced,TransitiveFrame,range,domain,3,dbo:manufacturer,dbo:Beverage,dbo:Organisation,by,beverage,beverages,organisation,organisations
publish_1,verb,publish,publishes,published,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Agent,by,book,books,agent,agents
publish_2,verb,publish,publishes,published,TransitiveFrame,range,domain,2,dbo:publisher,dbo:VideoGame,dbo:Agent,by,video game,video games,agent,agents
publish_3,verb,publish,publish,published,TransitiveFrame,range,domain,3,dbo:publisher,dbo:Work,dbo:Person,by,work,works,person,persons
