LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition,domainWrittenSingular,domainWrittenPlural,rangeWrittenSingular,rangeWrittenPlural
Develop_1,verb,develop,develops,developed,developed,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Software,by,company,companies,software,software
Develop_2,verb,develop,develops,developed,developed,TransitiveFrame,domain,range,1,dbo:developer,dbo:Work,dbo:Agent,by,work,works,agent,agents
marry,verb,marry_to,marries_to,married_to,married_to,TransitiveFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,by,person,persons,person,persons
paint,verb,paint,paints,painted,painted,TransitiveFrame,range,domain,1,dbp:artist,dbo:Work,dbo:Person,by,work,works,person,persons
exhibit,verb,exhibit,exhibits,exhibited,exhibited,TransitiveFrame,range,domain,1,dbo:museum,dbo:Artwork,dbo: Museum,by,artwork,artworks,museum,museums
discover,verb,discover,discovers,discovered,discovered,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:Planet,dbo:Person,by,plant,planets,person,persons
cross,verb,cross,crosses,crossed,crossed,TransitiveFrame,range,domain,1,dbo:crosses,dbo:Bridge,dbo:River,by,bridge,bridges,river,rivers
win,verb,win,wins,won,won,TransitiveFrame,range,domain,1,dbo:award,dbo:Scientist,dbo:Award,by,scientist,scientists,award,awards
create_1,verb,create,creates,created,created,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Agent,by,Television show,Television shows,agent,agents
write_1,verb,write,writes,wrote,written,TransitiveFrame,range,domain,1,dbo:writer,dbo:Song,dbo:Person,by,song,songs,person,persons
write_2,verb,write,writes,wrote,written,TransitiveFrame,range,domain,2,dbo:writer,dbo:Book,dbo:Person,by,book,books,person,persons
write_3,verb,write,writes,wrote,written,TransitiveFrame,range,domain,3,dbo:writer,dbo:MusicalWork,dbo:Person,by,musical work,musical works,person,persons
write_4,verb,write,writes,wrote,written,TransitiveFrame,range,domain,4,dbo:author,dbo:WrittenWork,dbo:Person,by,person,persons,written work,written works
write_5,verb,write,writes,wrote,written,TransitiveFrame,range,domain,5,dbo:writer,dbo:Work,dbo:Person,by,work,works,person,persons
starr,verb,starr_in,starrs_in,starred_in,starred_in,TransitiveFrame,range,domain,5,dbo:starring,dbo:Film,dbo:Actor,by,film,films,actor,actors
operate_1,verb,operate,operates,operated,operated,TransitiveFrame,domain,range,1,dbp:operator,dbo:LaunchPad,dbo:Organisation,by,launch pad,launch pads,organisation,organisations
play_1,verb,play,playes,played,played,TransitiveFrame,range,domain,1,dbo:portrayer,dbo:FictionalCharacter,dbo:Person,by,fictional character,fictional characters,person,persons
play_2,verb,play,plays,played,played,TransitiveFrame,range,domain,2,dbo:portrayer,dbo:Work,dbo:Actor,by,work,works,actor,actors
publish_1,verb,publish,publishes,published,published,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Agent,by,book,books,agent,agents
publish_2,verb,publish,publishes,published,published,TransitiveFrame,range,domain,2,dbo:publisher,dbo:Publisher,dbo:Agent,by,video game,video games,agent,agents
direct_1,verb,direct,directs,directed,directed,TransitiveFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,by,film,films,person,persons
serve_1,verb,serve,serves,served,served,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport,by,airline,airlines,airport,airports
design_1,verb,design,designs,designed,designed,TransitiveFrame,range,domain,1,dbo:architect,dbo:ArchitecturalStructure,dbo:Architect,by,architectural structure,architectural structures,architect,architects
design_2,verb,design,designs,designed,designed,TransitiveFrame,range,domain,2,dbo:designer,dbo:Building,dbo:Person,by,building,buildings,person,persons
speak_1,verb,speak,speaks,spoke,spoken,TransitiveFrame,range,domain,1,dbo:language,dbo:Language,dbo:Country,in,language,languages,country,countries
live_1,verb,live,lives,lived,lived,TransitiveFrame,range,domain,1,dbo:ethnicGroup,dbo:EthnicGroup,dbo:Country,in,ethnic group,ethnic groups,country,countries
