LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,SyntacticFrame,subject,directObject,sense,reference,domain,range
develop,verb,sviluppare,sviluppa,ha sviluppato,TransitiveFrame,range,domain,1,dbo:developer,dbo:Work,dbo:Agent
play,verb,interpretare,interpreta,ha interpretato,TransitiveFrame,range,domain,1,dbo:portrayer,dbo:FictionalCharacter,dbo:Person
-,verb,interpretare,interpreta,ha interpretato,TransitiveFrame,range,domain,2,dbo:portrayer,dbo:Work,dbo:Actor
-,verb,scrivere,scrive,ha scritto,TransitiveFrame,range,domain,3,dbp:composer,dbo:Work,dbo:Person
direct,verb,dirigere,dirige,ha diretto,TransitiveFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person
-,verb,dirigere,dirige,ha diretto,TransitiveFrame,range,domain,2,dbo:director,dbo:Software,dbo:Person
design,verb,progettare,progetta,ha progettato,TransitiveFrame,range,domain,1,dbo:architect,dbo:ArchitecturalStructure,dbo:Architect
-,verb,progettare,progetta,ha progettato,TransitiveFrame,range,domain,2,dbo:designer,dbo:Building,dbo:Person
-,verb,progettare,progetta,ha progettato,TransitiveFrame,range,domain,3,dbo:designer,dbo:Software,dbo:Person
operate,verb,,,,TransitiveFrame,range,domain,1,dbo:operator,dbo:Organisation,dbo:LaunchPad
cross,verb,attraversare,attraversa,ha attraversato,TransitiveFrame,range,domain,1,dbo:crosses,dbo:Bridge,dbo:River
exhibit,verb,,,,TransitiveFrame,range,domain,1,dbo:museum,dbo:Artwork,dbo: Museum
discover,verb,scoprire,scopre,ha scoperto,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:Place,dbo:Person
produce,verb,produrre,produce,ha prodotto,TransitiveFrame,range,domain,1,dbo:producer,dbo:Film,dbo:Person
-,verb,produrre,produce,ha prodotto,TransitiveFrame,range,domain,2,dbo:producer,dbo:Work,dbo:Person
-,verb,produrre,produce,ha prodotto,TransitiveFrame,range,domain,3,dbo:executiveProducer,dbo:TelevisionShow,dbo:Person
-,verb,produrre,produce,ha prodotto,TransitiveFrame,range,domain,3,dbo:manufacturer,dbo:Beverage,dbo:Organisation
publish,verb,pubblicare,pubblica,ha pubblicato,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Agent
-,verb,pubblicare,pubblica,ha pubblicato,TransitiveFrame,range,domain,2,dbo:publisher,dbo:VideoGame,dbo:Agent
-,verb,pubblicare,pubblica,ha pubblicato,TransitiveFrame,range,domain,3,dbo:publisher,dbo:Work,dbo:Person
-,verb,pubblicare,pubblica,ha pubblicato,TransitiveFrame,range,domain,4,dbp:publisher,dbo:Work,dbo:Agent
serve,verb,,,,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport
write,verb,scrivere,scrive,ha scritto,TransitiveFrame,range,domain,1,dbo:writer,dbo:Song,dbo:Person
-,verb,scrivere,scrive,ha scritto,TransitiveFrame,range,domain,2,dbo:writer,dbo:Book,dbo:Person
-,verb,scrivere,scrive,ha scritto,TransitiveFrame,range,domain,3,dbo:writer,dbo:MusicalWork,dbo:Person
-,verb,scrivere,scrive,ha scritto,TransitiveFrame,range,domain,4,dbo:author,dbo:Book,dbo:Agent
-,verb,scrivere,scrive,ha scritto,TransitiveFrame,range,domain,5,dbo:writer,dbo:Work,dbo:Person
-,verb,scrivere,scrive,ha scritto,TransitiveFrame,range,domain,6,dbp:allLyrics,dbo:Album,dbo:Person
-,verb,scrivere,scrive,ha scritto,TransitiveFrame,range,domain,7,dbp:writer,dbo:Work,dbo:Person
paint,verb,dipingere,dipinge,ha dipinto,TransitiveFrame,range,domain,1,dbo:artist,dbo:Work,dbo:Person
