LemonEntry,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domainWrittenSingularForm,domainWrittenPluralForm,rangeWrittenSingularForm,rangeWrittenPluralFormIndex
Population-of_1,noun,population,-,of,NounPPFrame,domain,range,1,dbo:populationTotal,dbo:Country,xsd:nonNegativeInteger,country,countries,-,-
Population-of_2,noun,population,-,of,NounPPFrame,domain,range,1,dbo:populationTotal,dbo:City,xsd:nonNegativeInteger,city,cities,-,-
Location-of_1,noun,location,-,of,NounPPFrame,range,domain,1,dbo:location,dbo:Place,dbo:Place,place,places,place,places
Location-of_2,noun,location,-,of,NounPPFrame,range,domain,1,dbo:locatedInArea ,dbo:Mountain,dbo:Country,mountain,mountains,country,countries
officialLanguage-of,noun,official language,official languages,of,NounPPFrame,range,domain,1,dbo:officialLanguage,dbo:Country,dbo:Language,country,countries,language,languages
ingredient_of,noun,ingredient,ingredients,of,NounPPFrame,range,domain,1,dbo:ingredient,dbo:Food,owl:Thing,food,foods,thing,things
dissolutionDate_of,noun,dissolution date,-,of,NounPPFrame,range,domain,1,dbo:dissolutionDate,dbo:Country,xsd:date,country,countries,-,-
firstSeason_of,noun,first season,first seasons,of,NounPPFrame,range,domain,1,dbo:seasonNumber,dbo:TelevisionShow,xsd:nonNegativeInteger,television show,television shows,-,-
largestCity_of,noun,largest city,-,of,NounPPFrame,range,domain,1,dbo:largestCity,dbo:Country,dbo:City,country,countries,city,cities
programmingLanguage_of,noun,programming language,programming languages,of,NounPPFrame,range,domain,1,dbo:programmingLanguage,dbo:Work,dbo:Language,work,works,language,languages
editor_of,noun,editor,editors,of,NounPPFrame,range,domain,1,dbo:editor,dbo:Work,dbo:Person,work,works,person,persons
number_of,noun,number of locations,-,of,NounPPFrame,range,domain,1,dbo:numberOfLocations,dbo:Company,xsd:nonNegativeInteger,company,companies,-,-
capital-of,noun,capital,-,of,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:City,country,countries,city,cities
child_of,noun,child,children,of,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,person,persons,person,persons
DeathDate-of_1,noun,death date,-,of,NounPPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date,person,persons,-,-
DeathDate-of_2,noun,death date,-,of,NounPPFrame,range,domain,1,dbo:deathDate,dbo:Royalty,xsd:date,royalty,royalties,-,-
nationality_of,noun,nationality,-,of,NounPPFrame,range,domain,1,dbo:nationality,dbo:Person,dbo:Country,person,persons,person,persons
alterEgo-of,noun,alter ego,-,of,NounPPFrame,range,domain,1,dbp:alterEgo,dbo:TelevisionShow,dbo:Person,television show,television shows,person,persons
formOfGovernment-of,noun,form of government,-,of,NounPPFrame,range,domain,1,dbo:governmentType,dbo:Country,dbo:GovernmentType,country,countries,government type,government types
recordLabel_of,noun,record label,record labels,of,NounPPFrame,range,domain,1,dbo:RecordLabel,dbo:Genre,xsd:string,genre,genres,-,-
wine_region_of,noun,wine region,wine regions,of,NounPPFrame,range,domain,1,dbo:wineRegion,dbo:Grape,dbo:Place,grape,grapes,place,places
loyalty,noun,loyalty,loyalties,X,NounPPFrame,range,domain,1,dbo:connotation,dbo:Loyalty,dbo:Color,loyality,loyalities,color,colors
leader-of,noun,leader,leaders,of,NounPPFrame,range,domain,1,dbo:leader,dbo:Country,dbo:Person,country,countries,person,persons
completionDate-of,noun,completion date,-,of,NounPPFrame,range,domain,1,dbo:completionDate,dbo:TelevisionShow,xsd:date,television show,television shows,-,-
numberOfPages-of,noun,number of pages,-,of,NounPPFrame,range,domain,1,dbo:numberOfPages,dbo:WrittenWork,xsd:positiveInteger,written work,written works,-,-
vice_president_of,noun,vice president,vice president,of,NounPPFrame,range,domain,1,dbo:vicePresident,dbo:Person,dbo:Person,person,persons,person,persons
successor_of,noun,successor,-,of,NounPPFrame,range,domain,1,dbo:successor,dbo:Person,dbo:Person,person,persons,person,persons
musicComposer-of,noun,music composer,music composers,of,NounPPFrame,range,domain,1,dbo:musicComposer,dbo:Film,dbo:Person,film,films,Person,Persons
timeZone-of,noun,time zone,time zones,of,NounPPFrame,range,domain,1,dbo:timezone,dbo:City,xsd:string,city,cities,-,-
currency_of,noun,currency,currencies,of,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency,country,countries,currency,currencies
developer_of,noun,developer,developers,of,NounPPFrame,range,domain,1,dbo:developer,dbo:Work,dbo:Agent,work,works,Agent,Agents
deathPlace-of,noun,death place,-,of,NounPPFrame,range,domain,1,dbo:deathPlace,dbo:Person,dbo:Place,person,persons,place,places
father_of,noun,father,-,of,NounPPFrame,range,domain,1,dbo:father,dbo:Person,dbo:Person,person,persons,person,persons
race_driver_with,noun,race driver,race driver,with,NounPPFrame,range,domain,1,dbo:races,dbo:FormulaOneRacer,dbo:Person,formula racer,formula racer,person,persons
producer-of,noun,producer,producers,of,NounPPFrame,range,domain,1,dbo:producer,dbo:Film,dbo:Company,film,films,company,companies
areaCode_of,noun,area code,-,of,NounPPFrame,range,domain,1,dbo:areaCode,dbo:City,xsd:string,city,cities,-,-
nickname_of,noun,nickname,nicknames,of,NounPPFrame,range,domain,1,dbp:nickname,dbo:City,xsd:string,city,cities,-,-
foundationPlace_of,noun,foundation place,-,of,NounPPFrame,range,domain,1,dbo:foundationPlace,dbo:Organisation,dbo:City,organisation,organisations,city,cities
influencer_of,noun,influencer,influencers,of,NounPPFrame,range,domain,1,dbo:influenced,dbo:Person,dbo:Person,person,persons,person,persons
party-of,noun,party,parties,of,NounPPFrame,range,domain,1,dbo:party,dbo:Politician,xsd:string,politician,politicians,-,-
President-of,noun,president,-,of,NounPPFrame,range,domain,1,dbo:office,dbo:Country,xsd:string,country,countries,-,-
elevation-of,noun,elevation,-,of,NounPPFrame,range,domain,1,dbo:elevation,dbo:Place,xsd:double,Place,Places,-,-
doctoralSupervisor_of,noun,doctoral supervisor,doctoral supervisors,of,NounPPFrame,range,domain,1,dbo: doctoralAdvisor,dbo:Scientist,dbo:Person,Scientist,Scientists,person,persons
residence-of,noun,residence,residences,of,NounPPFrame,range,domain,1,dbo:residence,dbo:Place,dbo:Person,place,Places,person,persons
currency_of,noun,currency,currencies,of,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency,country,countries,currency,currencies
son_of,noun,son,sons,of,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,person,persons,person,persons
headquarter_of,noun,headquarter,-,of,NounPPFrame,range,domain,1,dbo:headquarter,dbo:Organisation,dbo:PopulatedPlace,organisation,organisations,populated place,populated places
