"id","question","sparql","answer","frame"
"0","Gib mir den Produzenten von http://dbpedia.org/resource/A-segment","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/A-segment>    }","General Motors India","NPP"
"1","Gib mir die Produzenten von http://dbpedia.org/resource/A-segment","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/A-segment>    }","General Motors India","NPP"
"2","Was ist der Produzent von http://dbpedia.org/resource/A-segment?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/A-segment>    }","General Motors India","NPP"
"3","Was sind die Produzenten von http://dbpedia.org/resource/A-segment?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/A-segment>    }","General Motors India","NPP"
"4","Was war der Produzent von http://dbpedia.org/resource/A-segment?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/A-segment>    }","General Motors India","NPP"
"5","Was waren die Produzenten von http://dbpedia.org/resource/A-segment?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/A-segment>    }","General Motors India","NPP"
"6","Gib mir den Produzenten von http://dbpedia.org/resource/ABS-CBNnews.com","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ABS-CBNnews.com>    }","ABS-CBN Digital Media","NPP"
"7","Gib mir die Produzenten von http://dbpedia.org/resource/ABS-CBNnews.com","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ABS-CBNnews.com>    }","ABS-CBN Digital Media","NPP"
"8","Was ist der Produzent von http://dbpedia.org/resource/ABS-CBNnews.com?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ABS-CBNnews.com>    }","ABS-CBN Digital Media","NPP"
"9","Was sind die Produzenten von http://dbpedia.org/resource/ABS-CBNnews.com?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ABS-CBNnews.com>    }","ABS-CBN Digital Media","NPP"
"10","Was war der Produzent von http://dbpedia.org/resource/ABS-CBNnews.com?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ABS-CBNnews.com>    }","ABS-CBN Digital Media","NPP"
"11","Was waren die Produzenten von http://dbpedia.org/resource/ABS-CBNnews.com?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ABS-CBNnews.com>    }","ABS-CBN Digital Media","NPP"
"12","Gib mir den Produzenten von http://dbpedia.org/resource/ACH_Network","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ACH_Network>    }","TransNational Payments","NPP"
"13","Gib mir die Produzenten von http://dbpedia.org/resource/ACH_Network","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ACH_Network>    }","TransNational Payments","NPP"
"14","Was ist der Produzent von http://dbpedia.org/resource/ACH_Network?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ACH_Network>    }","TransNational Payments","NPP"
"15","Was sind die Produzenten von http://dbpedia.org/resource/ACH_Network?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ACH_Network>    }","TransNational Payments","NPP"
"16","Was war der Produzent von http://dbpedia.org/resource/ACH_Network?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ACH_Network>    }","TransNational Payments","NPP"
"17","Was waren die Produzenten von http://dbpedia.org/resource/ACH_Network?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ACH_Network>    }","TransNational Payments","NPP"
"18","Gib mir den Produzenten von http://dbpedia.org/resource/AC_motor","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"19","Gib mir die Produzenten von http://dbpedia.org/resource/AC_motor","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"20","Was ist der Produzent von http://dbpedia.org/resource/AC_motor?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"21","Was sind die Produzenten von http://dbpedia.org/resource/AC_motor?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"22","Was war der Produzent von http://dbpedia.org/resource/AC_motor?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"23","Was waren die Produzenten von http://dbpedia.org/resource/AC_motor?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"24","Gib mir den Produzenten von http://dbpedia.org/resource/AI_War:_Fleet_Command","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_War:_Fleet_Command>    }","Arcen Games","NPP"
"25","Gib mir die Produzenten von http://dbpedia.org/resource/AI_War:_Fleet_Command","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_War:_Fleet_Command>    }","Arcen Games","NPP"
"26","Was ist der Produzent von http://dbpedia.org/resource/AI_War:_Fleet_Command?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_War:_Fleet_Command>    }","Arcen Games","NPP"
"27","Was sind die Produzenten von http://dbpedia.org/resource/AI_War:_Fleet_Command?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_War:_Fleet_Command>    }","Arcen Games","NPP"
"28","Was war der Produzent von http://dbpedia.org/resource/AI_War:_Fleet_Command?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_War:_Fleet_Command>    }","Arcen Games","NPP"
"29","Was waren die Produzenten von http://dbpedia.org/resource/AI_War:_Fleet_Command?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_War:_Fleet_Command>    }","Arcen Games","NPP"
"30","Gib mir den Produzenten von http://dbpedia.org/resource/AI_accelerator","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_accelerator>    }","Arm Holdings","NPP"
"31","Gib mir die Produzenten von http://dbpedia.org/resource/AI_accelerator","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_accelerator>    }","Arm Holdings","NPP"
"32","Was ist der Produzent von http://dbpedia.org/resource/AI_accelerator?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_accelerator>    }","Arm Holdings","NPP"
"33","Was sind die Produzenten von http://dbpedia.org/resource/AI_accelerator?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_accelerator>    }","Arm Holdings","NPP"
"34","Was war der Produzent von http://dbpedia.org/resource/AI_accelerator?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_accelerator>    }","Arm Holdings","NPP"
"35","Was waren die Produzenten von http://dbpedia.org/resource/AI_accelerator?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_accelerator>    }","Arm Holdings","NPP"
"36","Gib mir den Produzenten von http://dbpedia.org/resource/AM_broadcasting","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AM_broadcasting>    }","GatesAir","NPP"
