"id","question","sparql","answer","frame"
"0","Gib mir den Produzenten von Wechselstrommotor","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"1","Gib mir die Produzenten von Wechselstrommotor","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"2","Was ist der Produzent von Wechselstrommotor?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"3","Was sind die Produzenten von Wechselstrommotor?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"4","Was war der Produzent von Wechselstrommotor?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"5","Was waren die Produzenten von Wechselstrommotor?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"6","Gib mir den Produzenten von Lufia","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    }","Natsume (company)","NPP"
"7","Gib mir die Produzenten von Lufia","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    }","Natsume (company)","NPP"
"8","Was ist der Produzent von Lufia?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    }","Natsume (company)","NPP"
"9","Was sind die Produzenten von Lufia?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    }","Natsume (company)","NPP"
"10","Was war der Produzent von Lufia?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    }","Natsume (company)","NPP"
"11","Was waren die Produzenten von Lufia?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    }","Natsume (company)","NPP"
"12","Gib mir den Produzenten von Bauholz","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    }","PotlatchDeltic","NPP"
"13","Gib mir die Produzenten von Bauholz","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    }","PotlatchDeltic","NPP"
"14","Was ist der Produzent von Bauholz?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    }","PotlatchDeltic","NPP"
"15","Was sind die Produzenten von Bauholz?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    }","PotlatchDeltic","NPP"
"16","Was war der Produzent von Bauholz?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    }","PotlatchDeltic","NPP"
"17","Was waren die Produzenten von Bauholz?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    }","PotlatchDeltic","NPP"
"18","Gib mir den Produzenten von Luxusgut","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    }","Standun","NPP"
"19","Gib mir die Produzenten von Luxusgut","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    }","Standun","NPP"
"20","Was ist der Produzent von Luxusgut?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    }","Standun","NPP"
"21","Was sind die Produzenten von Luxusgut?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    }","Standun","NPP"
"22","Was war der Produzent von Luxusgut?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    }","Standun","NPP"
"23","Was waren die Produzenten von Luxusgut?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    }","Standun","NPP"
"24","Gib mir den Produzenten von M&M’s","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M&M's>    }","Mars, Incorporated","NPP"
"25","Gib mir die Produzenten von M&M’s","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M&M's>    }","Mars, Incorporated","NPP"
"26","Was ist der Produzent von M&M’s?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M&M's>    }","Mars, Incorporated","NPP"
"27","Was sind die Produzenten von M&M’s?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M&M's>    }","Mars, Incorporated","NPP"
