"id","question","sparql","answer_uri","answer_label","frame"
"0","Chi creare  A-Tee khong pom?","select  ?o    {    <http://dbpedia.org/resource/'Cause_You're_My_Boy> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/GMMTV","GMMTV","VP"
"1","Chi ha creato  A-Tee khong pom?","select  ?o    {    <http://dbpedia.org/resource/'Cause_You're_My_Boy> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/GMMTV","GMMTV","VP"
"2","Quale persona creare  A-Tee khong pom?","select  ?o    {    <http://dbpedia.org/resource/'Cause_You're_My_Boy> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/GMMTV","GMMTV","VP"
"3","Quale persona ha creato  A-Tee khong pom?","select  ?o    {    <http://dbpedia.org/resource/'Cause_You're_My_Boy> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/GMMTV","GMMTV","VP"
"4","Chi creare  100 Code?","select  ?o    {    <http://dbpedia.org/resource/100_Code> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Ken_Bruen","Ken Bruen","VP"
"5","Chi ha creato  100 Code?","select  ?o    {    <http://dbpedia.org/resource/100_Code> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Ken_Bruen","Ken Bruen","VP"
"6","Quale persona creare  100 Code?","select  ?o    {    <http://dbpedia.org/resource/100_Code> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Ken_Bruen","Ken Bruen","VP"
"7","Quale persona ha creato  100 Code?","select  ?o    {    <http://dbpedia.org/resource/100_Code> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Ken_Bruen","Ken Bruen","VP"
"8","Chi creare  100 cose da fare prima del liceo?","select  ?o    {    <http://dbpedia.org/resource/100_Things_to_Do_Before_High_School> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Scott_Fellows","Scott Fellows","VP"
"9","Chi ha creato  100 cose da fare prima del liceo?","select  ?o    {    <http://dbpedia.org/resource/100_Things_to_Do_Before_High_School> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Scott_Fellows","Scott Fellows","VP"
"10","Quale persona creare  100 cose da fare prima del liceo?","select  ?o    {    <http://dbpedia.org/resource/100_Things_to_Do_Before_High_School> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Scott_Fellows","Scott Fellows","VP"
"11","Quale persona ha creato  100 cose da fare prima del liceo?","select  ?o    {    <http://dbpedia.org/resource/100_Things_to_Do_Before_High_School> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Scott_Fellows","Scott Fellows","VP"
"12","Chi creare  12 oz. Mouse?","select  ?o    {    <http://dbpedia.org/resource/12_oz._Mouse> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Matt_Maiellaro","Matt Maiellaro","VP"
"13","Chi ha creato  12 oz. Mouse?","select  ?o    {    <http://dbpedia.org/resource/12_oz._Mouse> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Matt_Maiellaro","Matt Maiellaro","VP"
"14","Quale persona creare  12 oz. Mouse?","select  ?o    {    <http://dbpedia.org/resource/12_oz._Mouse> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Matt_Maiellaro","Matt Maiellaro","VP"
"15","Quale persona ha creato  12 oz. Mouse?","select  ?o    {    <http://dbpedia.org/resource/12_oz._Mouse> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Matt_Maiellaro","Matt Maiellaro","VP"
"16","Chi creare  1600 Penn?","select  ?o    {    <http://dbpedia.org/resource/1600_Penn> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Jason_Winer","Jason Winer","VP"
"17","Chi ha creato  1600 Penn?","select  ?o    {    <http://dbpedia.org/resource/1600_Penn> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Jason_Winer","Jason Winer","VP"
"18","Quale persona creare  1600 Penn?","select  ?o    {    <http://dbpedia.org/resource/1600_Penn> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Jason_Winer","Jason Winer","VP"
"19","Quale persona ha creato  1600 Penn?","select  ?o    {    <http://dbpedia.org/resource/1600_Penn> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Jason_Winer","Jason Winer","VP"
"20","Chi creare  1899 serie televisiva?","select  ?o    {    <http://dbpedia.org/resource/1899_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Baran_bo_Odar","Baran bo Odar","VP"
"21","Chi ha creato  1899 serie televisiva?","select  ?o    {    <http://dbpedia.org/resource/1899_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Baran_bo_Odar","Baran bo Odar","VP"
"22","Quale persona creare  1899 serie televisiva?","select  ?o    {    <http://dbpedia.org/resource/1899_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Baran_bo_Odar","Baran bo Odar","VP"
"23","Quale persona ha creato  1899 serie televisiva?","select  ?o    {    <http://dbpedia.org/resource/1899_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Baran_bo_Odar","Baran bo Odar","VP"
"24","Chi creare  I quattro della scuola di polizia?","select  ?o    {    <http://dbpedia.org/resource/21_Jump_Street> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Stephen_J._Cannell","Stephen J. Cannell","VP"
"25","Chi ha creato  I quattro della scuola di polizia?","select  ?o    {    <http://dbpedia.org/resource/21_Jump_Street> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Stephen_J._Cannell","Stephen J. Cannell","VP"
"26","Quale persona creare  I quattro della scuola di polizia?","select  ?o    {    <http://dbpedia.org/resource/21_Jump_Street> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Stephen_J._Cannell","Stephen J. Cannell","VP"
"27","Quale persona ha creato  I quattro della scuola di polizia?","select  ?o    {    <http://dbpedia.org/resource/21_Jump_Street> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Stephen_J._Cannell","Stephen J. Cannell","VP"
"28","Chi creare  24: Legacy?","select  ?o    {    <http://dbpedia.org/resource/24:_Legacy> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Manny_Coto","Manny Coto","VP"
"29","Chi ha creato  24: Legacy?","select  ?o    {    <http://dbpedia.org/resource/24:_Legacy> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Manny_Coto","Manny Coto","VP"
"30","Quale persona creare  24: Legacy?","select  ?o    {    <http://dbpedia.org/resource/24:_Legacy> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Manny_Coto","Manny Coto","VP"
"31","Quale persona ha creato  24: Legacy?","select  ?o    {    <http://dbpedia.org/resource/24:_Legacy> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Manny_Coto","Manny Coto","VP"
"32","Chi creare  24 serie televisiva?","select  ?o    {    <http://dbpedia.org/resource/24_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Robert_Cochran_(TV_producer)","Robert Cochran","VP"
"33","Chi ha creato  24 serie televisiva?","select  ?o    {    <http://dbpedia.org/resource/24_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Robert_Cochran_(TV_producer)","Robert Cochran","VP"
"34","Quale persona creare  24 serie televisiva?","select  ?o    {    <http://dbpedia.org/resource/24_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Robert_Cochran_(TV_producer)","Robert Cochran","VP"
"35","Quale persona ha creato  24 serie televisiva?","select  ?o    {    <http://dbpedia.org/resource/24_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Robert_Cochran_(TV_producer)","Robert Cochran","VP"
"36","Chi creare  2 Broke Girls?","select  ?o    {    <http://dbpedia.org/resource/2_Broke_Girls> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Michael_Patrick_King","Michael Patrick King","VP"
"37","Chi ha creato  2 Broke Girls?","select  ?o    {    <http://dbpedia.org/resource/2_Broke_Girls> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Michael_Patrick_King","Michael Patrick King","VP"
"38","Quale persona creare  2 Broke Girls?","select  ?o    {    <http://dbpedia.org/resource/2_Broke_Girls> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Michael_Patrick_King","Michael Patrick King","VP"
"39","Quale persona ha creato  2 Broke Girls?","select  ?o    {    <http://dbpedia.org/resource/2_Broke_Girls> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Michael_Patrick_King","Michael Patrick King","VP"
"40","Chi creare  30 monedas?","select  ?o    {    <http://dbpedia.org/resource/30_Coins> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Álex_de_la_Iglesia","Álex de la Iglesia","VP"
"41","Chi ha creato  30 monedas?","select  ?o    {    <http://dbpedia.org/resource/30_Coins> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Álex_de_la_Iglesia","Álex de la Iglesia","VP"
"42","Quale persona creare  30 monedas?","select  ?o    {    <http://dbpedia.org/resource/30_Coins> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Álex_de_la_Iglesia","Álex de la Iglesia","VP"
"43","Quale persona ha creato  30 monedas?","select  ?o    {    <http://dbpedia.org/resource/30_Coins> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Álex_de_la_Iglesia","Álex de la Iglesia","VP"
"44","Chi creare  30 Rock?","select  ?o    {    <http://dbpedia.org/resource/30_Rock> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tina_Fey","Tina Fey","VP"
"45","Chi ha creato  30 Rock?","select  ?o    {    <http://dbpedia.org/resource/30_Rock> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tina_Fey","Tina Fey","VP"
"46","Quale persona creare  30 Rock?","select  ?o    {    <http://dbpedia.org/resource/30_Rock> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tina_Fey","Tina Fey","VP"
"47","Quale persona ha creato  30 Rock?","select  ?o    {    <http://dbpedia.org/resource/30_Rock> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tina_Fey","Tina Fey","VP"
"48","Chi creare  3 in mezzo a noi - I racconti di Arcadia?","select  ?o    {    <http://dbpedia.org/resource/3Below:_Tales_of_Arcadia> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Guillermo_del_Toro","Guillermo del Toro","VP"
"49","Chi ha creato  3 in mezzo a noi - I racconti di Arcadia?","select  ?o    {    <http://dbpedia.org/resource/3Below:_Tales_of_Arcadia> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Guillermo_del_Toro","Guillermo del Toro","VP"
"50","Quale persona creare  3 in mezzo a noi - I racconti di Arcadia?","select  ?o    {    <http://dbpedia.org/resource/3Below:_Tales_of_Arcadia> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Guillermo_del_Toro","Guillermo del Toro","VP"
