"binding","label"
"http://dbpedia.org/resource/Akuma_na_Eros","Virgin Crisis"
"http://dbpedia.org/resource/Al_di_là_del_lago","Al di là del lago (serie televisiva)"
"http://dbpedia.org/resource/Alabama_Claims","Pretese della CSS Alabama"
"http://dbpedia.org/resource/Arminio","Arminio (Händel)"
"http://dbpedia.org/resource/BAFTA_Award_for_Best_Editing","BAFTA al miglior montaggio"
"http://dbpedia.org/resource/Chevrolet_Engineering_Research_Vehicle","Chevrolet Corvette CERV"
"http://dbpedia.org/resource/Cordillera_de_Mérida","Cordigliera di Mérida"
"http://dbpedia.org/resource/Damon_Knight_Memorial_Grand_Master_Award","Premio Grand Master"
"http://dbpedia.org/resource/Ein_Fall_für_B.A.R.Z.","Un caso per B.A.R.Z."
"http://dbpedia.org/resource/Giasone","Il Giasone"
"http://dbpedia.org/resource/Grundtvig_programme","Programma Grundtvig"
"http://dbpedia.org/resource/Hallo_Robbie!","La nostra amica Robbie"
"http://dbpedia.org/resource/Harold_Shea","Incantatore incompleto"
"http://dbpedia.org/resource/Humours_of_an_Election","Le elezioni parlamentari (Hogarth)"
"http://dbpedia.org/resource/Il_più_grande_italiano_di_tutti_i_tempi","Il più grande (italiano di tutti i tempi)"
"http://dbpedia.org/resource/Invincible_Shan_Bao_Mei","Wu di Shan Bao Mei"
"http://dbpedia.org/resource/Israeli_football_league_system","Campionato israeliano di calcio"
"http://dbpedia.org/resource/L'heure_espagnole","L'Heure espagnole"
"http://dbpedia.org/resource/Lithuanian_mythology","Mitologia lituana"
"http://dbpedia.org/resource/Love_Lab","Love Lab"
"http://dbpedia.org/resource/Magical_Mystery_Tour_(film)","Magical Mystery Tour (film)"
"http://dbpedia.org/resource/Majdanek_trials","Processi di Majdanek"
"http://dbpedia.org/resource/Marble_Hornets","Marble Hornets"
"http://dbpedia.org/resource/Marco_–_Über_Meere_und_Berge","Dagli Appennini alle Ande (miniserie televisiva)"
"http://dbpedia.org/resource/Musashi_Gundoh","Musashi (serie animata)"
"http://dbpedia.org/resource/Nabucco","Nabucco"
"http://dbpedia.org/resource/Nokia_6280_Series","Nokia 6280"
"http://dbpedia.org/resource/Nostradamus_Effect","Effetto Nostradamus"
"http://dbpedia.org/resource/One_Outs","One Outs"
"http://dbpedia.org/resource/Ozzy_&_Drix","Ozzy & Drix"
"http://dbpedia.org/resource/Parks_and_Recreation","Parks and Recreation"
"http://dbpedia.org/resource/Petraeus_scandal","Scandalo Petraeus"
"http://dbpedia.org/resource/Planet_Raptor","Planet Raptor"
"http://dbpedia.org/resource/Prussian_Crusade","Crociata prussiana"
"http://dbpedia.org/resource/Pump_It_Up_(video_game_series)","Pump It Up"
"http://dbpedia.org/resource/Rehab_Addict","Come ti trasformo la casa"
"http://dbpedia.org/resource/Richard_Hale","Richard Hale"
"http://dbpedia.org/resource/Secret_Door_(TV_series)","Bimir-ui mun"
"http://dbpedia.org/resource/Shaolin_Wuzang","Shaolin Wuzang"
"http://dbpedia.org/resource/She-Ra:_Princess_of_Power","She-Ra, la principessa del potere"
"http://dbpedia.org/resource/Skeleton_Warriors","Skeleton Warriors"
"http://dbpedia.org/resource/Space_Odyssey_(TV_series)","Space Odyssey: Voyage to the Planets"
"http://dbpedia.org/resource/Sword_of_Freedom","La spada della libertà"
"http://dbpedia.org/resource/Techniques_of_neutralization","Tecniche di neutralizzazione"
"http://dbpedia.org/resource/That_'70s_Show_(season_8)","Episodi di That '70s Show (ottava stagione)"
"http://dbpedia.org/resource/The_101st_Proposal","101beonjjae propose"
"http://dbpedia.org/resource/The_Desert_Sessions","The Desert Sessions"
"http://dbpedia.org/resource/The_Ghost_Busters","The Ghost Busters"
"http://dbpedia.org/resource/The_Hat_Squad","The Hat Squad"
"http://dbpedia.org/resource/The_New_Bill_Cosby_Show","The New Bill Cosby Show"
"http://dbpedia.org/resource/The_New_Scooby_and_Scrappy-Doo_Show","The New Scooby and Scrappy-Doo Show"
"http://dbpedia.org/resource/The_Real_Football_Factories_International","Ultras nel mondo: curve infuocate"
"http://dbpedia.org/resource/The_X-Files_(season_1)","Episodi di X-Files (prima stagione)"
"http://dbpedia.org/resource/Tokyo_Magnitude_8.0","Tokyo Magnitude 8.0"
"http://dbpedia.org/resource/Toulouse_and_Montauban_shootings","Attentati di Tolosa e Montauban del 2012"
"http://dbpedia.org/resource/WWE_Diva_Search","WWE Diva Search"
"http://dbpedia.org/resource/Watch_My_Chops","Corneil e Bernie"
"http://dbpedia.org/resource/Yatterman","Yattaman"
"http://dbpedia.org/resource/Zeke_and_Luther","Zeke e Luther"
"http://dbpedia.org/resource/Zeni_Geba","Zeni Geba"
"http://dbpedia.org/resource/Ángel_de_la_guarda,_mi_dulce_compañía","Ángel de la guarda mi dulce compañía"
"http://dbpedia.org/resource/Dying_Earth","Ciclo della Terra Morente"
"http://dbpedia.org/resource/Florindo","Florindo (Händel)"
"http://dbpedia.org/resource/Icelandic_football_league_system","Campionato islandese di calcio"
"http://dbpedia.org/resource/Io_e_mio_figlio_–_Nuove_storie_per_il_commissario_Vivaldi","Io e mio figlio - Nuove storie per il commissario Vivaldi"
"http://dbpedia.org/resource/Kentucky_Jones","Il ragazzo di Hong Kong"
"http://dbpedia.org/resource/Kitchen_Princess","Kitchen Princess"
"http://dbpedia.org/resource/Koffee","Koffee"
"http://dbpedia.org/resource/Laurence_Olivier_Award_for_Best_Performance_in_a_Supporting_Role_in_a_Musical","Laurence Olivier Award alla miglior performance in un ruolo non protagonista in un musical"
"http://dbpedia.org/resource/Le_diable_dans_le_beffroi","Le diable dans le beffroi"
"http://dbpedia.org/resource/Long_Live_the_Royals","Lunga vita ai reali"
"http://dbpedia.org/resource/Majo_no_Jōken","Majo no jōken"
"http://dbpedia.org/resource/Miss_Austen_Regrets","Io, Jane Austen"
"http://dbpedia.org/resource/My_Life_Me","My Life Me"
"http://dbpedia.org/resource/My_Secret_Hotel","My Secret Hotel"
"http://dbpedia.org/resource/Mystery_Diagnosis","Malattie misteriose"
"http://dbpedia.org/resource/Nokia_100","Nokia 100"
"http://dbpedia.org/resource/Noragami","Noragami"
"http://dbpedia.org/resource/Parkhotel_Stern","Park Hotel Stern"
"http://dbpedia.org/resource/Pepper_Ann","Pepper Ann"
"http://dbpedia.org/resource/Police_Squad!","Quelli della pallottola spuntata"
"http://dbpedia.org/resource/Scrubs_(season_3)","Episodi di Scrubs - Medici ai primi ferri (terza stagione)"
