"binding","label"
"http://dbpedia.org/resource/Alaiye","Alaiye"
"http://dbpedia.org/resource/Alamannia","Alemannia"
"http://dbpedia.org/resource/Baol","Regno del Baol"
"http://dbpedia.org/resource/Dry_season","Stagione secca"
"http://dbpedia.org/resource/Dulafid_dynasty","Dulafidi"
"http://dbpedia.org/resource/Emirate_of_Trarza","Emirato di Trarza"
"http://dbpedia.org/resource/German_West_Africa","Africa Occidentale Tedesca"
"http://dbpedia.org/resource/History_of_Sierra_Leone","Storia della Sierra Leone"
"http://dbpedia.org/resource/Isfendiyarids","Isfendiyaridi"
"http://dbpedia.org/resource/Kaisheim_Abbey","Abbazia di Kaisheim"
"http://dbpedia.org/resource/Kiev_Voivodeship","Voivodato di Kiev"
"http://dbpedia.org/resource/Kingdom_of_Poland_(1385–1569)","Regno di Polonia (1385-1569)"
"http://dbpedia.org/resource/Kingdom_of_Tashir-Dzoraget","Regno di Lori"
"http://dbpedia.org/resource/Maafa","Maafa"
"http://dbpedia.org/resource/Magyar_Autonomous_Region","Provincia Autonoma Ungherese"
"http://dbpedia.org/resource/Mengjiang","Mengjiang"
"http://dbpedia.org/resource/Mountainous_Republic_of_the_Northern_Caucasus","Repubblica delle Montagne del Caucaso Settentrionale"
"http://dbpedia.org/resource/National_Defense_Council_of_East_Germany","Consiglio Nazionale della Difesa della Repubblica Democratica Tedesca"
"http://dbpedia.org/resource/Northern_Nigeria_Protectorate","Protettorato della Nigeria settentrionale"
"http://dbpedia.org/resource/Peter_Badmayev","Pëtr Badmaev"
"http://dbpedia.org/resource/Phra_Nakhon_District","Phra Nakhon"
"http://dbpedia.org/resource/Rot_an_der_Rot_Abbey","Abbazia di Roth"
"http://dbpedia.org/resource/Singulative_number","Singolativo"
"http://dbpedia.org/resource/Solms-Hohensolms-Lich","Solms-Hohensolms-Lich"
"http://dbpedia.org/resource/Sri_Lanka_national_cricket_team","Nazionale di cricket dello Sri Lanka"
"http://dbpedia.org/resource/Twenty-fifth_Dynasty_of_Egypt","XXV dinastia egizia"
"http://dbpedia.org/resource/Vermilion_Bird","Uccello Vermiglio (costellazione cinese)"
"http://dbpedia.org/resource/Victorian_gold_rush","Corsa all'oro di Victoria"
"http://dbpedia.org/resource/Bamana_Empire","Impero Bamana"
"http://dbpedia.org/resource/Bulgarian_National_Revival","Risorgimento bulgaro"
"http://dbpedia.org/resource/Judea","Giudea"
"http://dbpedia.org/resource/Kingdom_of_Abkhazia","Regno di Abcasia"
"http://dbpedia.org/resource/March_of_Tuscany","Marca di Tuscia"
"http://dbpedia.org/resource/Packraft","Packraft"
"http://dbpedia.org/resource/Prince-Bishopric_of_Paderborn","Principato vescovile di Paderborn"
"http://dbpedia.org/resource/Principality_of_Tver","Principato di Tver'"
"http://dbpedia.org/resource/South_Kasai","Sud-Kasai"
"http://dbpedia.org/resource/Spain_women's_national_handball_team","Nazionale di pallamano femminile della Spagna"
"http://dbpedia.org/resource/Umayyad_Caliphate","Banu Umayya"
"http://dbpedia.org/resource/Umayyad_Caliphate","Califfato omayyade"
"http://dbpedia.org/resource/Yekaterinoslav_Governorate","Governatorato di Ekaterinoslav"
"http://dbpedia.org/resource/Astrological_age","Era astrologica"
"http://dbpedia.org/resource/Astronomical_symbols","Simbolo astronomico"
"http://dbpedia.org/resource/Atauro_Island","Atauro"
"http://dbpedia.org/resource/Capetian_dynasty","Capetingi"
"http://dbpedia.org/resource/Carchemish","Karkemiš"
"http://dbpedia.org/resource/Casamance","Casamance"
"http://dbpedia.org/resource/Type_92_Heavy_Armoured_Car","Type 92 Jyū-Sokosha"
"http://dbpedia.org/resource/Tây_Sơn_dynasty","Dinastia Tây Sơn"
"http://dbpedia.org/resource/Türgesh","Turgesh"
"http://dbpedia.org/resource/UNESCO","Organizzazione delle Nazioni Unite per l'educazione, la scienza e la cultura"
"http://dbpedia.org/resource/Ulyanovsk_Oblast","Oblast' di Ul'janovsk"
"http://dbpedia.org/resource/Union_between_Sweden_and_Norway","Svezia-Norvegia"
"http://dbpedia.org/resource/United_Arab_Emirates_national_cricket_team","Nazionale di cricket degli Emirati Arabi Uniti"
"http://dbpedia.org/resource/United_Principalities_of_Moldavia_and_Wallachia","Principato di Romania"
"http://dbpedia.org/resource/United_States_Army_Military_Government_in_Korea","Governo militare degli Stati Uniti in Corea"
"http://dbpedia.org/resource/United_States_women's_national_volleyball_team","Nazionale di pallavolo femminile degli Stati Uniti d'America"
"http://dbpedia.org/resource/United_Suvadive_Republic","Repubblica Unita delle Suvadive"
"http://dbpedia.org/resource/Ganja_Khanate","Khanato di Ganja"
"http://dbpedia.org/resource/ISU_Junior_Grand_Prix_in_Australia","Grand Prix ISU juniores in Australia"
"http://dbpedia.org/resource/West_Florida","Florida occidentale"
"http://dbpedia.org/resource/Fidei_depositum","Fidei Depositum"
"http://dbpedia.org/resource/Figure_skating_season","Stagione di pattinaggio di figura"
"http://dbpedia.org/resource/Polesie_Voivodeship","Voivodato della Polesia"
"http://dbpedia.org/resource/Pudukkottai_State","Pudukkottai (stato)"
"http://dbpedia.org/resource/Sayn-Homburg","Contea di Sayn-Homburg"
"http://dbpedia.org/resource/Second-wave_feminism","Seconda ondata femminista"
"http://dbpedia.org/resource/Sultanate_of_Langkat","Langkat (stato)"
"http://dbpedia.org/resource/Twelfth_Dynasty_of_Egypt","XII dinastia egizia"
"http://dbpedia.org/resource/Western_Europe","Europa occidentale"
"http://dbpedia.org/resource/Duchy_of_Racibórz","Ducato di Racibórz"
"http://dbpedia.org/resource/Hamazi","Hamazi"
"http://dbpedia.org/resource/History_of_Antigua_and_Barbuda","Storia di Antigua e Barbuda"
"http://dbpedia.org/resource/Information_Age","Era dell'informazione"
"http://dbpedia.org/resource/Israeli_cuisine","Cucina israeliana"
"http://dbpedia.org/resource/Japanese_nationality_law","Cittadinanza giapponese"
"http://dbpedia.org/resource/Khoy_Khanate","Khanato di Khoy"
"http://dbpedia.org/resource/Napoleonic_era","Età napoleonica"
"http://dbpedia.org/resource/Republic_of_Cospaia","Repubblica di Cospaia"
"http://dbpedia.org/resource/Taifa_of_Zaragoza","Taifa di Saragozza"
"http://dbpedia.org/resource/Indian_country","Paese indiano"
"http://dbpedia.org/resource/Industrialisation","Industrializzazione"
"http://dbpedia.org/resource/Landgraviate_of_Hesse-Rotenburg","Assia-Rotenburg"
"http://dbpedia.org/resource/List_of_regions_of_the_United_States","Regioni degli Stati Uniti d'America"
"http://dbpedia.org/resource/The_Gambia_(1965–1970)","Gambia (1965-1970)"
"http://dbpedia.org/resource/Academic_year","Anno accademico"
"http://dbpedia.org/resource/Achaean_League","Lega achea"
"http://dbpedia.org/resource/Adal_Sultanate","Sultanato di Adal"
"http://dbpedia.org/resource/Africa_(Roman_province)","Africa (provincia romana)"
"http://dbpedia.org/resource/Airy_disk","Disco di Airy"
"http://dbpedia.org/resource/Aki_Province","Aki (provincia)"
"http://dbpedia.org/resource/Alabama_Territory","Territorio dell'Alabama"
"http://dbpedia.org/resource/Alash_Autonomy","Autonomia di Alash"
"http://dbpedia.org/resource/Algeria","Algeria"
"http://dbpedia.org/resource/Allies_of_World_War_I","Alleati della prima guerra mondiale"
"http://dbpedia.org/resource/Allies_of_World_War_II","Alleati della seconda guerra mondiale"
"http://dbpedia.org/resource/Almada","Almada"
"http://dbpedia.org/resource/Alor_Archipelago","Arcipelago di Alor"
"http://dbpedia.org/resource/Alsace-Lorraine","Alsazia-Lorena"
"http://dbpedia.org/resource/Amazon_basin","Bacino dell'Amazzonia"
"http://dbpedia.org/resource/Ambon_Island","Ambon (isola)"
"http://dbpedia.org/resource/Ambon_Island","Ambon (Morbihan)"
"http://dbpedia.org/resource/American_Renaissance","American Renaissance"
"http://dbpedia.org/resource/American_literature","Letteratura statunitense"
"http://dbpedia.org/resource/American_literature","Letteratura canadese"
"http://dbpedia.org/resource/Americans","Statunitensi"
"http://dbpedia.org/resource/Americas","America"
"http://dbpedia.org/resource/Ammon","Ammoniti (popolo)"
"http://dbpedia.org/resource/Amorites","Amorrei"
"http://dbpedia.org/resource/Amurru_kingdom","Regno di Amurru"
"http://dbpedia.org/resource/Anarchy_at_Samarra","Anarchia di Samarra"
"http://dbpedia.org/resource/Anarchy_of_the_12_Warlords","Anarchia dei 12 signori della guerra"
"http://dbpedia.org/resource/Anatolia","Anatolia"
"http://dbpedia.org/resource/Ancien_Régime","Ancien Régime"
"http://dbpedia.org/resource/Ancient_Rome","Tronie"
"http://dbpedia.org/resource/Ancient_Rome","Cultura romana"
"http://dbpedia.org/resource/Ancient_Rome","Civiltà romana"
"http://dbpedia.org/resource/Andorra","Andorra"
"http://dbpedia.org/resource/Angola","Angola"
"http://dbpedia.org/resource/Anguilla","Anguilla (isola)"
"http://dbpedia.org/resource/Anguilla","Anguilla (Mississippi)"
"http://dbpedia.org/resource/Antarctic_Treaty_System","Trattato Antartico"
"http://dbpedia.org/resource/Antarctica","Antartide"
"http://dbpedia.org/resource/Arab_Maghreb_Union","Unione del Maghreb arabo"
"http://dbpedia.org/resource/Argentina","Argentina"
"http://dbpedia.org/resource/Armenia","Armenia"
"http://dbpedia.org/resource/Armenian_Soviet_Socialist_Republic","Repubblica Socialista Sovietica Armena"
"http://dbpedia.org/resource/Army_of_the_Republic_of_Bosnia_and_Herzegovina","Armata della Repubblica di Bosnia ed Erzegovina"
"http://dbpedia.org/resource/Asia","Asia"
"http://dbpedia.org/resource/Asia_Cooperation_Dialogue","Dialogo per la cooperazione asiatica"
"http://dbpedia.org/resource/Assembly_of_European_Regions","Assemblea delle Regioni d'Europa"
"http://dbpedia.org/resource/Association_of_Caribbean_States","Associazione degli Stati caraibici"
"http://dbpedia.org/resource/Australia","Australia (albedo)"
"http://dbpedia.org/resource/Australia","Australia (continente)"
"http://dbpedia.org/resource/Australia","Australia"
"http://dbpedia.org/resource/Australia_national_cricket_team","Nazionale di cricket dell'Australia"
"http://dbpedia.org/resource/Australian_Antarctic_Territory","Territorio Antartico Australiano"
"http://dbpedia.org/resource/Australian_Grand_Prix","Gran Premio d'Australia"
"http://dbpedia.org/resource/Austria","Austria"
"http://dbpedia.org/resource/Austria","Cisleitania"
"http://dbpedia.org/resource/Austria-Hungary","Impero austro-ungarico"
"http://dbpedia.org/resource/Austria-Hungary","Reichsrat (Austria)"
"http://dbpedia.org/resource/Azerbaijan","Azerbaigian"
"http://dbpedia.org/resource/Azerbaijan_Democratic_Republic","Repubblica Democratica di Azerbaigian"
"http://dbpedia.org/resource/Azerbaijan_Soviet_Socialist_Republic","Repubblica Socialista Sovietica Azera"
"http://dbpedia.org/resource/Caucasian_Albania","Albania caucasica"
"http://dbpedia.org/resource/Central_African_Republic","Repubblica Centrafricana"
"http://dbpedia.org/resource/Duchy_of_Amalfi","Ducato di Amalfi"
"http://dbpedia.org/resource/Employment_agency","Sistema di collocamento pubblico"
"http://dbpedia.org/resource/Employment_agency","Agenzia per il lavoro"
"http://dbpedia.org/resource/French_Algeria","Algeria francese"
"http://dbpedia.org/resource/Immensa_Aeterni_Dei","Immensa Aeterni Dei"
