"binding","subjOfProp","label"
"http://dbpedia.org/resource/Akira_Yasuda","http://dbpedia.org/resource/Poison_(Final_Fight)","Poison (Final Fight)"
"http://dbpedia.org/resource/Jeph_Loeb","http://dbpedia.org/resource/Imperiex","Imperiex"
"http://dbpedia.org/resource/Jeph_Loeb","http://dbpedia.org/resource/Betty_Ross","Betty Ross"
"http://dbpedia.org/resource/Jeph_Loeb","http://dbpedia.org/resource/Toyman","Giocattolaio"
"http://dbpedia.org/resource/Louis_Del_Grande","http://dbpedia.org/resource/Seeing_Things_(TV_series)","Occhio al superocchio"
"http://dbpedia.org/resource/Richard_P._Rubinstein","http://dbpedia.org/resource/Monsters_(American_TV_series)","Monsters (serie televisiva 1988)"
"http://dbpedia.org/resource/Roger_Stern","http://dbpedia.org/resource/Erik_Josten","Erik Josten"
"http://dbpedia.org/resource/Roger_Stern","http://dbpedia.org/resource/Monica_Rambeau","Monica Rambeau"
"http://dbpedia.org/resource/Roger_Stern","http://dbpedia.org/resource/Sensor_(character)","Sensor (personaggio)"
"http://dbpedia.org/resource/Roger_Stern","http://dbpedia.org/resource/Baron_Blood","Barone Sangue"
"http://dbpedia.org/resource/Roger_Stern","http://dbpedia.org/resource/Blaze_and_Satanus","Blaze e Satanus"
"http://dbpedia.org/resource/Roger_Stern","http://dbpedia.org/resource/Blockbuster_(DC_Comics)","Blockbuster (DC Comics)"
"http://dbpedia.org/resource/Jim_Balent","http://dbpedia.org/resource/Harlequin_(character)","Harlequin (personaggio)"
"http://dbpedia.org/resource/Sue_Rose","http://dbpedia.org/resource/Pepper_Ann","Pepper Ann"
"http://dbpedia.org/resource/Sue_Rose","http://dbpedia.org/resource/Unfabulous","Unfabulous"
"http://dbpedia.org/resource/Casper_Kelly","http://dbpedia.org/resource/Your_Pretty_Face_Is_Going_to_Hell","Your Pretty Face Is Going to Hell"
"http://dbpedia.org/resource/Tyler_Perry","http://dbpedia.org/resource/Tyler_Perry's_Young_Dylan","Tyler Perry's Young Dylan"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/America's_Next_Top_Model","America's Next Top Model"
